k_true,series,param,sampler,median_rhat,q75_rhat,max_rhat,frac_converged,n_sim
2,density,Alt2,bayesm_gibbs,1.009,1.019,1.046,1.0,5
2,density,Alt2,nuts,1.015,1.074,1.133,0.667,3
2,density,Alt2,hmc,1.027,1.056,1.127,0.8,5
2,density,Alt3,bayesm,1.02,1.022,1.041,1.0,5
2,density,Alt3,bayesm_gibbs,1.013,1.019,1.047,1.0,5
2,density,Alt3,nuts,1.037,1.088,1.14,0.667,3
2,density,Alt3,hmc,1.035,1.054,1.244,0.8,5
2,density,Price,bayesm,1.018,1.024,1.194,0.8,5
2,density,Price,bayesm_gibbs,1.03,1.033,1.044,1.0,5
2,density,Price,nuts,1.058,1.148,1.238,0.667,3
2,density,Price,hmc,1.032,1.092,1.412,0.8,5
2,Mean,Alt1,bayesm,1.026,1.037,1.348,0.8,5
2,Mean,Alt1,bayesm_gibbs,1.022,1.035,1.047,1.0,5
2,Mean,Alt1,nuts,1.075,1.12,1.165,0.667,3
2,Mean,Alt1,hmc,1.054,1.064,1.26,0.8,5
2,Mean,Alt2,bayesm,1.031,1.099,1.155,0.8,5
2,Mean,Alt2,bayesm_gibbs,1.023,1.034,1.043,1.0,5
2,Mean,Alt2,nuts,1.047,1.079,1.112,0.667,3
2,Mean,Alt2,hmc,1.012,1.047,1.066,1.0,5
2,Mean,Alt3,bayesm,1.017,1.033,1.19,0.8,5
2,Mean,Alt3,bayesm_gibbs,1.038,1.041,1.06,1.0,5
2,Mean,Alt3,nuts,1.07,1.23,1.39,0.667,3
2,Mean,Alt3,hmc,1.037,1.045,1.063,1.0,5
2,Mean,Price,bayesm,1.013,1.127,1.282,0.6,5
2,Mean,Price,bayesm_gibbs,1.014,1.022,1.046,1.0,5
2,Mean,Price,nuts,1.307,1.311,1.314,0.333,3
2,Mean,Price,hmc,1.092,1.11,1.163,0.6,5
2,Var,Alt1,bayesm,1.014,1.046,1.281,0.8,5
2,Var,Alt1,bayesm_gibbs,1.027,1.069,1.102,0.8,5
2,Var,Alt1,nuts,1.076,1.111,1.146,0.667,3
2,Var,Alt1,hmc,1.007,1.012,1.059,1.0,5
2,Var,Alt2,bayesm,1.036,1.064,1.146,0.8,5
2,Var,Alt2,bayesm_gibbs,1.017,1.048,1.112,0.8,5
2,Var,Alt2,nuts,1.051,1.162,1.272,0.667,3
2,Var,Alt2,hmc,1.015,1.066,1.096,1.0,5
2,Var,Alt3,bayesm,1.028,1.03,1.143,0.8,5
2,Var,Alt3,bayesm_gibbs,1.079,1.083,1.087,1.0,5
2,Var,Alt3,nuts,1.067,1.129,1.19,0.667,3
2,Var,Alt3,hmc,1.012,1.013,1.063,1.0,5
2,Var,Price,bayesm,1.011,1.143,1.167,0.6,5
2,Var,Price,bayesm_gibbs,1.012,1.021,1.082,1.0,5
2,Var,Price,nuts,1.033,1.051,1.069,1.0,3
2,Var,Price,hmc,1.009,1.039,1.111,0.8,5
3,density,Alt1,bayesm,1.056,1.137,1.142,0.6,5
3,density,Alt1,bayesm_gibbs,1.027,1.032,1.142,0.8,5
3,density,Alt1,nuts,1.124,1.165,1.861,0.4,5
3,density,Alt1,hmc,1.214,1.403,1.569,0.2,5
3,density,Alt2,bayesm,1.021,1.04,1.106,0.8,5
3,density,Alt2,bayesm_gibbs,1.022,1.024,1.058,1.0,5
3,density,Alt2,nuts,1.194,1.218,1.241,0.4,5
3,density,Alt2,hmc,1.112,1.16,1.482,0.2,5
3,density,Alt3,bayesm,1.048,1.066,1.082,1.0,5
3,density,Alt3,bayesm_gibbs,1.018,1.03,1.148,0.8,5
3,density,Alt3,nuts,1.138,1.213,1.721,0.2,5
3,density,Alt3,hmc,1.297,1.467,1.756,0.4,5
3,density,Price,bayesm,1.027,1.045,1.084,1.0,5
3,density,Price,bayesm_gibbs,1.032,1.058,1.078,1.0,5
3,density,Price,nuts,1.392,1.477,1.85,0.2,5
3,density,Price,hmc,1.219,1.532,1.752,0.2,5
3,Mean,Alt1,bayesm,1.062,1.119,1.272,0.6,5
3,Mean,Alt1,bayesm_gibbs,1.084,1.102,1.122,0.6,5
3,Mean,Alt1,nuts,1.095,1.098,1.233,0.8,5
3,Mean,Alt1,hmc,1.174,1.2,1.31,0.2,5
3,Mean,Alt2,bayesm,1.077,1.106,1.18,0.6,5
3,Mean,Alt2,bayesm_gibbs,1.017,1.02,1.04,1.0,5
3,Mean,Alt2,nuts,1.161,1.168,1.183,0.2,5
3,Mean,Alt2,hmc,1.071,1.338,1.638,0.6,5
3,Mean,Alt3,bayesm,1.103,1.113,1.19,0.4,5
3,Mean,Alt3,bayesm_gibbs,1.024,1.027,1.029,1.0,5
3,Mean,Alt3,nuts,1.137,1.181,1.293,0.2,5
3,Mean,Alt3,hmc,1.036,1.038,1.133,0.8,5
3,Mean,Price,bayesm,1.032,1.034,1.041,1.0,5
3,Mean,Price,bayesm_gibbs,1.011,1.036,1.045,1.0,5
3,Mean,Price,nuts,1.088,1.101,1.397,0.6,5
3,Mean,Price,hmc,1.143,1.608,1.673,0.4,5
3,Var,Alt1,bayesm,1.028,1.329,1.427,0.6,5
3,Var,Alt1,bayesm_gibbs,1.076,1.123,1.167,0.6,5
3,Var,Alt1,nuts,1.145,1.198,1.417,0.2,5
3,Var,Alt1,hmc,1.146,1.225,1.403,0.4,5
3,Var,Alt2,bayesm,1.064,1.173,1.224,0.6,5
3,Var,Alt2,bayesm_gibbs,1.029,1.101,1.163,0.6,5
3,Var,Alt2,nuts,1.102,1.294,1.409,0.4,5
3,Var,Alt2,hmc,1.029,1.125,1.231,0.6,5
3,Var,Alt3,bayesm,1.067,1.11,1.276,0.6,5
3,Var,Alt3,bayesm_gibbs,1.018,1.055,1.136,0.8,5
3,Var,Alt3,nuts,1.095,1.156,1.217,0.6,5
3,Var,Alt3,hmc,1.156,1.171,1.223,0.4,5
3,Var,Price,bayesm,1.015,1.018,1.064,1.0,5
3,Var,Price,bayesm_gibbs,1.022,1.086,1.149,0.8,5
3,Var,Price,nuts,1.144,1.197,1.24,0.0,5
3,Var,Price,hmc,1.087,1.108,1.154,0.6,5
5,density,Alt1,bayesm,1.029,1.05,1.548,0.8,5
5,density,Alt1,bayesm_gibbs,1.032,1.074,1.262,0.8,5
5,density,Alt1,nuts,1.488,1.538,1.554,0.2,5
5,density,Alt1,hmc,1.06,1.599,1.833,0.6,5
5,density,Alt2,bayesm,1.018,1.029,1.473,0.8,5
5,density,Alt2,bayesm_gibbs,1.017,1.026,1.3,0.8,5
5,density,Alt2,nuts,1.465,1.597,1.658,0.2,5
5,density,Alt2,hmc,1.326,1.692,1.811,0.4,5
5,density,Alt3,bayesm,1.036,1.122,1.232,0.6,5
5,density,Alt3,bayesm_gibbs,1.056,1.063,1.167,0.8,5
5,density,Alt3,nuts,1.205,1.393,1.761,0.2,5
5,density,Alt3,hmc,1.142,1.263,1.523,0.4,5
5,density,Price,bayesm,1.052,1.071,1.111,0.8,5
5,density,Price,bayesm_gibbs,1.016,1.026,1.139,0.8,5
5,density,Price,nuts,1.728,1.796,1.808,0.4,5
5,density,Price,hmc,1.422,1.792,1.827,0.4,5
5,Mean,Alt1,bayesm,1.019,1.04,1.437,0.8,5
5,Mean,Alt1,bayesm_gibbs,1.059,1.116,1.127,0.6,5
5,Mean,Alt1,nuts,1.227,1.617,1.673,0.4,5
5,Mean,Alt1,hmc,1.158,1.248,1.828,0.4,5
5,Mean,Alt2,bayesm,1.001,1.002,1.318,0.8,5
5,Mean,Alt2,bayesm_gibbs,1.004,1.05,1.134,0.8,5
5,Mean,Alt2,nuts,1.056,1.251,1.743,0.6,5
5,Mean,Alt2,hmc,1.088,1.092,1.451,0.8,5
5,Mean,Alt3,bayesm,1.005,1.019,1.023,1.0,5
5,Mean,Alt3,bayesm_gibbs,1.008,1.012,1.024,1.0,5
5,Mean,Alt3,nuts,1.337,1.608,1.752,0.4,5
5,Mean,Alt3,hmc,1.109,1.135,1.5,0.4,5
5,Mean,Price,bayesm,1.003,1.013,1.013,1.0,5
5,Mean,Price,bayesm_gibbs,1.001,1.003,1.06,1.0,5
5,Mean,Price,nuts,1.062,1.099,1.335,0.8,5
5,Mean,Price,hmc,1.035,1.41,1.728,0.6,5
5,Var,Alt1,bayesm,1.044,1.1,1.549,0.6,5
5,Var,Alt1,bayesm_gibbs,1.092,1.175,1.211,0.6,5
5,Var,Alt1,nuts,1.057,1.602,1.634,0.6,5
5,Var,Alt1,hmc,1.05,1.231,1.602,0.6,5
5,Var,Alt2,bayesm,1.009,1.016,1.483,0.8,5
5,Var,Alt2,bayesm_gibbs,1.018,1.051,1.079,1.0,5
5,Var,Alt2,nuts,1.06,1.135,1.383,0.6,5
5,Var,Alt2,hmc,1.015,1.064,1.142,0.8,5
5,Var,Alt3,bayesm,1.003,1.025,1.032,1.0,5
5,Var,Alt3,bayesm_gibbs,1.03,1.038,1.048,1.0,5
5,Var,Alt3,nuts,1.043,1.478,1.575,0.6,5
5,Var,Alt3,hmc,1.024,1.085,1.284,0.8,5
5,Var,Price,bayesm,1.012,1.023,1.085,1.0,5
5,Var,Price,bayesm_gibbs,1.01,1.019,1.187,0.8,5
5,Var,Price,nuts,1.047,1.087,1.522,0.8,5
5,Var,Price,hmc,1.057,1.286,1.297,0.6,5
